id,hotel_name,hotel_id,hotel_score,hotel_image_id,hotel_location_info,hotel_grade_text,hotel_comment_desc,hotel_city_name
128,泰莲庭溪畔酒店(北京雁栖湖店),beijing_city_10786,4.7,https://userimg.qunarzz.com/imgs/202209/09/C.3LeSBLhME7IjCAKJh480.webp,近怀柔泰莲庭 · 怀柔景区,高档型,很好,北京
129,北京八达岭倚城轩农家院,beijing_city_107990,4.9,https://userimg.qunarzz.com/imgs/202207/30/C.GLk1E4G5Yre9GLEhG480.webp,近岔道古城 · 延庆度假区,经济型,超棒,北京
130,北京国都大饭店,beijing_city_108,4.5,https://userimg.qunarzz.com/imgs/202204/01/C.maHldQEPZSJT8R_BE480.webp,近北京大学第三医院(首都国际机场院区) · 首都机场/新国展,四星级,不错,北京
131,全季酒店(北京丰台站丰管路店),beijing_city_10802,4.9,https://userimg.qunarzz.com/imgs/202208/08/C._-35krc6w3G2EENnc480.webp,近北京丰台站 · 北京西站/丽泽商务区,舒适型,超棒,北京
132,北京怡景商务酒店,beijing_city_10805,4.7,https://userimg.qunarzz.com/imgs/202008/06/C.kvEPzVVb1ApAfMzuV480.webp,近牡丹园地铁站 · 马甸/安贞,经济型,很好,北京
133,北京赣人之家宾馆,beijing_city_10820,4.8,https://userimg.qunarzz.com/imgs/202010/26/C.OMbnDHr9ZUvDC0Ryr480.webp,近牡丹园地铁站 · 马甸/安贞,经济型,棒,北京
134,祥庭民宿,beijing_city_108210,4.9,https://userimg.qunarzz.com/imgs/202308/24/C.hHKnNmbnYmoC1IU0S480.webp,近百里山水画廊 · 延庆度假区,经济型,超棒,北京
135,家诚短租公寓(北京蒲黄榆店),beijing_city_10843,4.8,https://userimg.qunarzz.com/imgs/202401/03/C.gTWvPxxErljiSRQ5x480.webp,近刘家窑地铁站 · 劲松/潘家园,经济型,棒,北京
136,北京栖莱公寓(长阳地铁站店),beijing_city_108587,4.6,https://userimg.qunarzz.com/imgs/202307/18/C.GKgXSdBRzjhs_28UR480.webp,近长阳地铁站 · 房山景区,经济型,好,北京
138,北京方恒假日酒店,beijing_city_10870,4.8,https://userimg.qunarzz.com/imgs/202005/12/C.5ij606qcHBNrk5mxl480.webp,近望京SOHO · 望京/酒仙桥/798,高档型,棒,北京
